Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


Motilal Oswal Mutual Fund
129047;Motilal Oswal Multicap 35 Fund (MOF35)- Direct Plan-Dividend Option;INF247L01528;INF247L01510;20.4964;;;01-Jul-2020
129047;Motilal Oswal Multicap 35 Fund (MOF35)- Direct Plan-Dividend Option;INF247L01528;INF247L01510;20.6922;;;02-Jul-2020
129047;Motilal Oswal Multicap 35 Fund (MOF35)- Direct Plan-Dividend Option;INF247L01528;INF247L01510;20.8859;;;03-Jul-2020
129047;Motilal Oswal Multicap 35 Fund (MOF35)- Direct Plan-Dividend Option;INF247L01528;INF247L01510;21.2442;;;06-Jul-2020
129047;Motilal Oswal Multicap 35 Fund (MOF35)- Direct Plan-Dividend Option;INF247L01528;INF247L01510;21.4247;;;07-Jul-2020
129047;Motilal Oswal Multicap 35 Fund (MOF35)- Direct Plan-Dividend Option;INF247L01528;INF247L01510;21.2737;;;08-Jul-2020
129047;Motilal Oswal Multicap 35 Fund (MOF35)- Direct Plan-Dividend Option;INF247L01528;INF247L01510;21.4228;;;09-Jul-2020
129047;Motilal Oswal Multicap 35 Fund (MOF35)- Direct Plan-Dividend Option;INF247L01528;INF247L01510;21.4139;;;10-Jul-2020
129047;Motilal Oswal Multicap 35 Fund (MOF35)- Direct Plan-Dividend Option;INF247L01528;INF247L01510;21.4864;;;13-Jul-2020
129047;Motilal Oswal Multicap 35 Fund (MOF35)- Direct Plan-Dividend Option;INF247L01528;INF247L01510;21.1834;;;14-Jul-2020
129047;Motilal Oswal Multicap 35 Fund (MOF35)- Direct Plan-Dividend Option;INF247L01528;INF247L01510;21.0724;;;15-Jul-2020
129047;Motilal Oswal Multicap 35 Fund (MOF35)- Direct Plan-Dividend Option;INF247L01528;INF247L01510;21.3276;;;16-Jul-2020
129047;Motilal Oswal Multicap 35 Fund (MOF35)- Direct Plan-Dividend Option;INF247L01528;INF247L01510;21.6488;;;17-Jul-2020
129047;Motilal Oswal Multicap 35 Fund (MOF35)- Direct Plan-Dividend Option;INF247L01528;INF247L01510;21.9535;;;20-Jul-2020
129047;Motilal Oswal Multicap 35 Fund (MOF35)- Direct Plan-Dividend Option;INF247L01528;INF247L01510;22.1657;;;21-Jul-2020
129047;Motilal Oswal Multicap 35 Fund (MOF35)- Direct Plan-Dividend Option;INF247L01528;INF247L01510;21.9829;;;22-Jul-2020
129046;Motilal Oswal Multicap 35 Fund (MOF35)-Direct Plan-Growth Option;INF247L01502;;24.6433;;;01-Jul-2020
